License Number,Business Name,DBA/Trade Name,Business Unique ID,Business Category,License Type,License Status,Initial Issuance Date,Expiration Date,Details,Contact Phone,Address Type,Building Number,Street1,Street2,Street3,Unit Type,Apt/Suite,City,State,ZIP Code,Borough,Community Board,Council District,BIN,BBL,NTA,Census Block (2010),Census Tract (2010),Latitude,Longitude
2017908-DCA,SP PLUS CORPORATION,,BA-1526027-2022,Garage & Parking Lot,Premises,Voided,02/03/2015,03/31/2025,Vehicle Capacity: 149; Bicycle Capacity: 15,2123217542,Complete Address,154,E 53RD ST,,,,,NEW YORK,NY,10022,Manhattan,106.0,4.0,1036470.0,1013070043.0,MN19,2003.0,100.0,40.75811,-73.970383
1277435-DCA,VFC INDUSTRIES LTD.,,BA-1502822-2022,Garage & Parking Lot,Premises,Expired,02/13/2008,03/31/2023,Vehicle Capacity: 135; Bicycle Capacity: 13,212-722-3349,Complete Address,161,W 132ND ST,,,,,NEW YORK,NY,10027,Manhattan,110.0,9.0,1058142.0,1019170005.0,MN03,1002.0,226.0,40.81288,-73.943868
1307263-DCA,FORDHAM PETROLEUM LLC,,BA-1192476-2022,Garage & Parking Lot,Premises,Out of Business,01/09/2009,03/31/2023,,7183655624,Complete Address,296,W FORDHAM RD,,,,,BRONX,NY,10468,Bronx,207.0,14.0,2015072.0,2032330065.0,BX36,1002.0,257.0,40.86175,-73.91202
1101577-DCA,SP PLUS CORPORATION,,BA-1527459-2022,Garage & Parking Lot,Premises,Voided,02/19/2002,03/31/2025,Vehicle Capacity: 1208; Bicycle Capacity: 30,2123217542,Complete Address,200,EAST  161 STREET,,,,,BRONX,NY,10451,Bronx,204.0,16.0,2002456.0,2024430090.0,BX14,1000.0,61.0,40.82634,-73.920963
1022575-DCA,"101 CAR PARK, LLC",,BA-1123828-2022,Garage & Parking Lot,Premises,Surrendered,08/18/2011,03/31/2023,Vehicle Capacity: 140; Bicycle Capacity: 14,2122216111,Complete Address,101,WEST   23 STREET,,,,,NEW YORK,NY,10011,Manhattan,104.0,3.0,1014954.0,1007990035.0,MN13,1003.0,91.0,40.7431,-73.993226
0906410-DCA,MARK TWAIN GARAGE CORP,,BA-1437966-2022,Garage & Parking Lot,Premises,Expired,04/03/1997,03/31/2023,Vehicle Capacity: 40; Bicycle Capacity: 0,212-956-2280,Complete Address,100,WEST   12 STREET,,,,,NEW YORK,NY,10011,Manhattan,102.0,3.0,1010577.0,1006070038.0,MN23,3000.0,71.0,40.73621,-73.998235
2025222-DCA,SP PLUS CORPORATION,,BA-1520881-2022,Garage & Parking Lot,Premises,Expired,07/02/2015,03/31/2023,Vehicle Capacity: 65; Bicycle Capacity: 6,2125025490,Complete Address,47,CHURCH STREET,,,,,NEW YORK,NY,10007,Manhattan,101.0,1.0,1075702.0,1000800004.0,MN25,1008.0,13.0,40.71127,-74.010623
2022417-DCA,SP PLUS CORPORATION,,BA-1543739-2022,Garage & Parking Lot,Premises,Voided,05/08/2015,03/31/2025,Vehicle Capacity: 51; Bicycle Capacity: 5,2123217542,Complete Address,213,E 80TH ST,,,,,NEW YORK,NY,10075,Manhattan,108.0,5.0,1085215.0,1015267502.0,MN32,3000.0,138.0,40.77475,-73.956262
2018926-DCA,SP PLUS CORPORATION,,BA-1541047-2022,Garage & Parking Lot,Premises,Expired,03/03/2015,03/31/2023,Vehicle Capacity: 220; Bicycle Capacity: 20,2125025490,Complete Address,10420,QUEENS BOULEVARD,,,,,FOREST HILLS,NY,11375,Queens,406.0,29.0,4433860.0,4031750001.0,QN17,1000.0,71305.0,40.72378,-73.848991
1191722-DCA,COSMO PARKING LLC,,BA-1226847-2022,Garage & Parking Lot,Premises,Surrendered,03/25/2005,03/31/2023,Vehicle Capacity: 105; Bicycle Capacity: 10,2129562280,Complete Address,360,WEST   43 STREET,,,,,NEW YORK,NY,10036,Manhattan,104.0,3.0,1086106.0,1010330001.0,MN15,1001.0,121.0,40.75859,-73.990947
0919735-DCA,"ALLIED AUSTIN CO., L.P.",ALLIED AUSTIN CO,BA-1122291-2022,Garage & Parking Lot,Premises,Surrendered,04/03/1995,03/31/2023,Vehicle Capacity: 121; Bicycle Capacity: 12,7182633800,Complete Address,6930,AUSTIN STREET,,,,,FOREST HILLS,NY,11375,Queens,406.0,29.0,4077468.0,4032347501.0,QN17,2000.0,711.0,40.72151,-73.848502
1004129-DCA,55 E. 125 ST. CORP.,,BA-1104101-2022,Garage & Parking Lot,Premises,Expired,03/03/1999,03/31/2023,Vehicle Capacity: 47; Bicycle Capacity: 0,2129963566,Complete Address,55,WEST  125 STREET,,,,,NEW YORK,NY,10027,Manhattan,110.0,9.0,1053499.0,1017230010.0,MN11,2000.0,200.0,40.80727,-73.94427
2021722-DCA,SP PLUS CORPORATION,,BA-1527107-2022,Garage & Parking Lot,Premises,Out of Business,04/27/2015,03/31/2023,Vehicle Capacity: 63; Bicycle Capacity: 6,2125025490,Complete Address,14,CHARLTON STREET,,,,,NEW YORK,NY,10014,Manhattan,102.0,3.0,1007832.0,1005060027.0,MN24,3001.0,37.0,40.72701,-74.004088
1134501-DCA,EDISON NY PARKING LLC,,BA-1199114-2022,Garage & Parking Lot,Premises,Expired,10/06/2004,03/31/2023,,2122261981,Complete Address,220,SOUTH ST,,,,,NEW YORK,NY,10002,Manhattan,103.0,1.0,1003205.0,1002500001.0,MN27,5002.0,8.0,40.70945,-73.99433
0992903-DCA,"SEVEN ELEVEN CAR PARK, LLC",GGMC,BA-1514466-2022,Garage & Parking Lot,Premises,Surrendered,08/18/1998,03/31/2025,Vehicle Capacity: 165; Bicycle Capacity: 16,2129966363,Complete Address,711,3 AVENUE,,,,,NEW YORK,NY,10017,Manhattan,106.0,4.0,1037568.0,1013180001.0,MN19,1001.0,90.0,40.75237,-73.973266
2029591-DCA,SP PLUS CORPORATION,,BA-1546550-2022,Garage & Parking Lot,Premises,Voided,10/16/2015,03/31/2025,Vehicle Capacity: 37; Bicycle Capacity: 0,2125025490,Complete Address,240,EAST   47 STREET,,,,,NEW YORK,NY,10017,Manhattan,106.0,4.0,1037607.0,1013207501.0,MN19,6000.0,90.0,40.75352,-73.971161
1205940-DCA,"IMPERIAL PARKING (U.S.), INC",,BA-1321363-2022,Garage & Parking Lot,Premises,Expired,03/15/2007,03/31/2023,Vehicle Capacity: 27; Bicycle Capacity: 0,2129378660,Complete Address,60,EAST   12 STREET,,,,,NEW YORK,NY,10003,Manhattan,102.0,2.0,1009001.0,1005570017.0,MN23,3004.0,61.0,40.73312,-73.990911
2021747-DCA,SP PLUS CORPORATION,,BA-1566875-2022,Garage & Parking Lot,Premises,Voided,04/28/2015,03/31/2025,Vehicle Capacity: 70; Bicycle Capacity: 7,(212) 321-7542,Complete Address,301,EAST   66 STREET,,,,,NEW YORK,NY,10065,Manhattan,108.0,5.0,1044738.0,1014417501.0,MN31,4002.0,118.0,40.76485,-73.960789
1209503-DCA,CHAMPION PARKING 33 LLC,,BA-1228020-2022,Garage & Parking Lot,Premises,Surrendered,09/09/2005,03/31/2023,Vehicle Capacity: 150; Bicycle Capacity: 15,2123085959,Complete Address,4,PARK AVENUE,,,,,NEW YORK,NY,10016,Manhattan,105.0,4.0,1017084.0,1008630044.0,MN17,2000.0,74.0,40.74675,-73.981598
1416499-DCA,ALVA 47 PARKING LLC,,BA-1103969-2022,Garage & Parking Lot,Premises,Expired,01/06/2012,03/31/2023,Vehicle Capacity: 120; Bicycle Capacity: 12,2126869800,Complete Address,257,W 47TH ST,,,,,NEW YORK,NY,10036,Manhattan,105.0,3.0,1024754.0,1010190008.0,MN17,2001.0,125.0,40.75994,-73.986355
2019798-DCA,SP PLUS CORPORATION,,BA-1543349-2022,Garage & Parking Lot,Premises,Voided,03/20/2015,03/31/2025,Vehicle Capacity: 180; Bicycle Capacity: 18,2123217542,Complete Address,18,MORTON STREET,,,,,NEW YORK,NY,10014,Manhattan,102.0,3.0,1009929.0,1005860077.0,MN23,3002.0,67.0,40.73126,-74.003767
2019796-DCA,SP PLUS CORPORATION,,BA-1516940-2022,Garage & Parking Lot,Premises,Voided,03/20/2015,03/31/2025,Vehicle Capacity: 150; Bicycle Capacity: 15,2125025490,Complete Address,23,W 55TH ST,,,,,NEW YORK,NY,10019,Manhattan,105.0,4.0,1034824.0,1012710023.0,MN17,1000.0,104.0,40.76209,-73.975901
1447575-DCA,"I & T PARKING, INC.",,BA-1339987-2022,Garage & Parking Lot,Premises,Expired,10/06/2012,03/31/2023,,9173716222,Complete Address,2955,SHELL ROAD,,,,,BROOKLYN,NY,11224,Brooklyn,313.0,47.0,3319931.0,3072697501.0,BK21,1019.0,348.0,40.58053,-73.97615
2000995-DCA,PARK RIGHT CORPORATION,,BA-1428941-2022,Garage & Parking Lot,Premises,Surrendered,11/21/2013,03/31/2023,Vehicle Capacity: 72; Bicycle Capacity: 7,9179391515,Complete Address,415,GREENWICH STREET,,,,,NEW YORK,NY,10013,Manhattan,101.0,1.0,1002807.0,1002157504.0,MN24,1019.0,39.0,40.72156,-74.009885
1102228-DCA,SP PLUS CORPORATION,,BA-1566689-2022,Garage & Parking Lot,Premises,Voided,02/21/2002,03/31/2025,Vehicle Capacity: 175; Bicycle Capacity: 18,(212) 321-7542,Complete Address,100,MYRTLE AVENUE,,,,,BROOKLYN,NY,11201,Brooklyn,302.0,33.0,3255603.0,3001480007.0,BK38,1010.0,11.0,40.69372,-73.985503
2014863-DCA,"LAZ PARKING NEW YORK/NEW JERSEY, LLC","LAZ PARKING NY/NJ, LLC",BA-1262733-2022,Garage & Parking Lot,Premises,Expired,10/22/2014,03/31/2023,,8605227641,Complete Address,300,PEARL STREET,,,,,NEW YORK,NY,10038,Manhattan,101.0,1.0,1000000.0,1000980001.0,MN25,3011.0,1501.0,40.70861,-74.002763
1460735-DCA,ENTERPRISE 51 PARKING LLC,,BA-1219438-2022,Garage & Parking Lot,Premises,Expired,03/26/2013,03/31/2023,Vehicle Capacity: 170; Bicycle Capacity: 17,2125643199,Complete Address,680,12 AVENUE,,,,,NEW YORK,NY,10019,Manhattan,104.0,3.0,1080994.0,1010980011.0,MN15,2006.0,135.0,40.76694,-73.996635
0927031-DCA,RAPID E. 77TH ST. CORP.,,BA-1417991-2022,Garage & Parking Lot,Premises,Expired,04/10/1997,03/31/2023,Vehicle Capacity: 70; Bicycle Capacity: 7,2128661000,Complete Address,155,EAST   76 STREET,,,,,NEW YORK,NY,10021,Manhattan,108.0,4.0,1043174.0,1014110023.0,MN40,1000.0,128.0,40.77281,-73.959831
1157614-DCA,"STATE STREET PARKING, LLC",,BA-1561218-2022,Garage & Parking Lot,Premises,Expired,12/19/2003,03/31/2023,Vehicle Capacity: 750; Bicycle Capacity: 25,973-643-7700,Complete Address,71,SMITH STREET,,,,,BROOKLYN,NY,11201,Brooklyn,302.0,33.0,3403492.0,3001707501.0,BK38,2000.0,43.0,40.68939,-73.988609
2022419-DCA,SP PLUS CORPORATION,,BA-1562933-2022,Garage & Parking Lot,Premises,Voided,05/08/2015,03/31/2025,Vehicle Capacity: 125; Bicycle Capacity: 12,2123217542,Complete Address,139,E 33RD ST,,,,,NEW YORK,NY,10016,Manhattan,105.0,4.0,1018492.0,1008890015.0,MN20,2000.0,72.0,40.74584,-73.980436
1084609-DCA,SP PLUS CORPORATION,,BA-1515567-2022,Garage & Parking Lot,Premises,Voided,06/18/2001,03/31/2025,Vehicle Capacity: 320; Bicycle Capacity: 21,2123217542,Complete Address,185,EAST   85 STREET,,,,,MANHATTAN,NY,10028,Manhattan,108.0,4.0,1047938.0,1015140039.0,MN40,2000.0,14801.0,40.77836,-73.954996
2006524-DCA,SAM DAR ENTERPRISES INC,,BA-1513759-2022,Garage & Parking Lot,Premises,Expired,04/18/2014,03/31/2023,Vehicle Capacity: 100; Bicycle Capacity: 10,3476149291,Complete Address,2218,JEROME AVE,,,,,BRONX,NY,10453,Bronx,205.0,14.0,2014055.0,2031860017.0,BX40,3001.0,239.0,40.85722,-73.904575
0813398-DCA,ALLIE GARAGE CORP.,,BA-1103126-2022,Garage & Parking Lot,Premises,Surrendered,04/10/1997,03/31/2023,Vehicle Capacity: 125; Bicycle Capacity: 12,2122467220,Complete Address,124,WEST   60 STREET,,,,,NEW YORK,NY,10023,Manhattan,107.0,6.0,1028827.0,1011317502.0,MN14,1001.0,145.0,40.77023,-73.98523
1461464-DCA,MP 25 II LLC,,BA-1428193-2022,Garage & Parking Lot,Premises,Active,04/08/2013,03/31/2025,Vehicle Capacity: 108; Bicycle Capacity: 11,2124903460,Complete Address,29-37,W 25TH ST,,,,,New York,NY,10010,Manhattan,,,,,,,,40.727460950275706,-73.93075077588249
0851958-DCA,52 - BROADWAY GARAGE CORP.,,BA-1115492-2022,Garage & Parking Lot,Premises,Expired,03/28/1997,03/31/2023,Vehicle Capacity: 61; Bicycle Capacity: 6,2124072516,Complete Address,1675,BROADWAY,,,,,NEW YORK,NY,10019,Manhattan,105.0,3.0,1076199.0,1010240015.0,MN17,2002.0,131.0,40.76296,-73.983073
2028584-DCA,M&I PETROLEUM CORP,,BA-1415025-2022,Garage & Parking Lot,Premises,Out of Business,09/18/2015,03/31/2023,,3478430980,Complete Address,688,E GUN HILL RD,,,,,BRONX,NY,10467,Bronx,212.0,12.0,2117671.0,2046280025.0,BX44,2002.0,374.0,40.87764,-73.86742
1117512-DCA,NEW OGDEN PARKING INC.,,BA-1416571-2022,Garage & Parking Lot,Premises,Surrendered,08/12/2002,03/31/2023,Vehicle Capacity: 100; Bicycle Capacity: 10,7186815122,Complete Address,156,W 166TH ST,,,,,BRONX,NY,10452,Bronx,204.0,16.0,2003475.0,2025260014.0,BX26,4002.0,193.0,40.83578,-73.928371
2001467-DCA,SP PLUS CORPORATION,,BA-1536024-2022,Garage & Parking Lot,Premises,Voided,12/10/2013,03/31/2025,Vehicle Capacity: 710; Bicycle Capacity: 25,2123217542,Complete Address,688,MAIN ST,,,,,NEW YORK,NY,10044,Manhattan,108.0,5.0,1083211.0,1013730001.0,MN31,1006.0,23802.0,40.76504,-73.946872
2020467-DCA,BROADWAY S/S INC,,BA-1107390-2022,Garage & Parking Lot,Premises,Expired,04/03/2015,03/31/2023,,212-543-0010,Complete Address,4275,BROADWAY,,,,,NEW YORK,NY,10033,Manhattan,112.0,10.0,1085724.0,1021800095.0,MN35,4002.0,271.0,40.85088,-73.935385
2013235-DCA,MP WEST 30 LLC,,BA-1413230-2022,Garage & Parking Lot,Premises,Active,09/11/2014,12/04/2024,Vehicle Capacity: 79; Bicycle Capacity: 8,2124903460,Complete Address,500,WEST   30 STREET,,,,,NEW YORK,NY,10001,Manhattan,104.0,3.0,1089862.0,1007017502.0,MN13,1016.0,99.0,40.75212,-74.001159
1380047-DCA,CLARIDGE 87 PARKING LLC,,BA-1226287-2022,Garage & Parking Lot,Premises,Expired,01/04/2011,03/31/2023,Vehicle Capacity: 218; Bicycle Capacity: 20,2126869800,Complete Address,201,EAST   87 STREET,,,,,NEW YORK,NY,10128,Manhattan,108.0,5.0,1048809.0,1015330001.0,MN32,1000.0,14602.0,40.77947,-73.9534
1206949-DCA,"EAST 111 STREET PROPERTIES, LLC",,BA-1272274-2022,Garage & Parking Lot,Premises,Expired,08/17/2005,03/31/2023,,9736437700,Complete Address,409,EAST  110 STREET,,,,,NEW YORK,NY,10029,Manhattan,111.0,8.0,1081440.0,1017040001.0,MN33,1001.0,162.0,40.79203,-73.937804
2022970-DCA,ROCKWELL CAR PARK LLC,,BA-1550493-2022,Garage & Parking Lot,Premises,Expired,05/18/2015,01/01/2023,Vehicle Capacity: 92; Bicycle Capacity: 9,212-996-6363,Complete Address,29,FLATBUSH AVENUE,,,,,BROOKLYN,NY,11217,Brooklyn,302.0,35.0,3412935.0,3021067502.0,BK68,2007.0,33.0,40.68789,-73.980222
2042320-DCA,MTP 57 LLC,,BA-1411446-2022,Garage & Parking Lot,Premises,Active,08/11/2016,12/22/2024,Vehicle Capacity: 285; Bicycle Capacity: 21,2125755777,Complete Address,625,WEST   57 STREET,,,,,NEW YORK,NY,10019,Manhattan,104.0,6.0,1089709.0,1011057501.0,MN15,1001.0,135.0,40.77129,-73.9937
1348882-DCA,QUIK PARK WEST 42ND ST. LLC,,BA-1469738-2022,Garage & Parking Lot,Premises,Expired,04/01/2010,03/31/2023,,2128322066,Complete Address,600,WEST   42 STREET,,,,,NEW YORK,NY,10036,Manhattan,104.0,3.0,1085962.0,1010897502.0,MN13,1002.0,117.0,40.76088,-73.998477
1385583-DCA,VS PARKING GARAGE CORP.,,BA-1551811-2022,Garage & Parking Lot,Premises,Expired,06/12/2013,03/31/2023,Vehicle Capacity: 96; Bicycle Capacity: 9,7189094449,Complete Address,275,PARK AVE,,,,,BROOKLYN,NY,11205,Brooklyn,302.0,35.0,3054140.0,3018740001.0,BK99,2005.0,543.0,40.69601,-73.967562
1364133-DCA,SP PLUS CORPORATION,,BA-1560881-2022,Garage & Parking Lot,Premises,Voided,07/27/2010,03/31/2025,Vehicle Capacity: 99; Bicycle Capacity: 9,2123217542,Complete Address,3960,BROADWAY,,,,,NEW YORK,NY,10032,Manhattan,112.0,10.0,1062993.0,1021240043.0,MN36,1004.0,251.0,40.83976,-73.940705
2022173-DCA,SP PLUS CORPORATION,,BA-1544664-2022,Garage & Parking Lot,Premises,Out of Business,05/05/2015,03/31/2023,Vehicle Capacity: 182; Bicycle Capacity: 18,2125025490,Complete Address,157,W 83RD ST,,,,,NEW YORK,NY,10024,Manhattan,107.0,6.0,1032112.0,1012140010.0,MN12,4000.0,169.0,40.7852,-73.975156
1007823-DCA,BIENVENIDO LLC,,BA-1125543-2022,Garage & Parking Lot,Premises,Surrendered,04/29/1999,03/31/2025,Vehicle Capacity: 96; Bicycle Capacity: 10,2122893800,Complete Address,1277,Jerome Ave,,,,,Bronx,NY,10452,Bronx,204.0,16.0,2008283.0,2028550045.0,BX26,1012.0,219.0,40.83774,-73.919916
0884653-DCA,CONCERTO GARAGE CORP.,,BA-1211968-2022,Garage & Parking Lot,Premises,Surrendered,04/17/1995,03/31/2023,Vehicle Capacity: 265; Bicycle Capacity: 21,2129562280,Complete Address,200,WEST   60 STREET,,,,,NEW YORK,NY,10023,Manhattan,107.0,6.0,1077845.0,1011517501.0,MN14,1001.0,147.0,40.77114,-73.98736
1135959-DCA,SP PLUS CORPORATION,,BA-1567083-2022,Garage & Parking Lot,Premises,Voided,04/10/2003,03/31/2025,Vehicle Capacity: 248; Bicycle Capacity: 20,2123217542,Complete Address,525,E 71ST ST,,,,,NEW YORK,NY,10021,Manhattan,108.0,5.0,1087893.0,1014837501.0,MN31,7001.0,124.0,40.76596,-73.953741
2010346-DCA,185TH OPERATING LLC,,BA-1117111-2022,Garage & Parking Lot,Premises,Active,07/03/2014,03/31/2025,Vehicle Capacity: 375; Bicycle Capacity: 22,2129287251,Complete Address,4320,BROADWAY,,,,,NEW YORK,NY,10033,Manhattan,112.0,10.0,1081882.0,1021670001.0,MN35,3001.0,271.0,40.85215,-73.934715
1465356-DCA,ORMOND PLACE PARKING CORP.,,BA-1436518-2022,Garage & Parking Lot,Premises,Active,05/20/2013,03/31/2025,Vehicle Capacity: 50; Bicycle Capacity: 0,7188570822,Complete Address,12,CLAVER PL,,,,,BROOKLYN,NY,11238,Brooklyn,303.0,36.0,3057295.0,3019940027.0,BK69,4001.0,227.0,40.68281,-73.957624
0427913-DCA,CA-LI AUTOMATIC TRANSMISSION CORP.,A & S PARKING,BA-1272007-2022,Garage & Parking Lot,Premises,Active,03/20/1997,03/31/2025,Vehicle Capacity: 125; Bicycle Capacity: 13,2128640137,Complete Address,103,W 108TH ST,,,,,NEW YORK,NY,10025,Manhattan,107.0,7.0,1056004.0,1018630026.0,MN09,5001.0,193.0,40.80069,-73.962238
1245036-DCA,WELCOME PARKING LIMITED LIABILITY COMPANY,,BA-1565138-2022,Garage & Parking Lot,Premises,Active,12/13/2006,03/31/2025,Vehicle Capacity: 950; Bicycle Capacity: 27,2016807129,Complete Address,601,AMBOY ST,,,,,BROOKLYN,NY,11212,Brooklyn,316.0,42.0,3319596.0,3036320019.0,BK96,6000.0,890.0,40.65521,-73.910948
1384440-DCA,REX PARKING CORP.,,BA-1557867-2022,Garage & Parking Lot,Premises,Active,03/10/2011,03/31/2025,Vehicle Capacity: 42; Bicycle Capacity: 0,5166984240,Complete Address,10,EAST  153 STREET,,,,,BRONX,NY,10451,Bronx,204.0,8.0,2003573.0,2025390132.0,BX63,2009.0,63.0,40.82613,-73.929476
1070436-DCA,92ND REALTY LLC,,BA-1103873-2022,Garage & Parking Lot,Premises,Active,12/29/2000,03/31/2025,Vehicle Capacity: 137; Bicycle Capacity: 14,2128609627,Complete Address,441,EAST   92 STREET,,,,,NEW YORK,NY,10128,Manhattan,108.0,8.0,1050763.0,1015730022.0,MN32,2000.0,152.0,40.78002,-73.944961
1105864-DCA,EAST 79TH STREET PARKING LLC,,BA-1203545-2022,Garage & Parking Lot,Premises,Active,04/15/2002,03/31/2025,Vehicle Capacity: 57; Bicycle Capacity: 5,2124903460,Complete Address,505,EAST   79 STREET,,,,,NEW YORK,NY,10021,Manhattan,108.0,5.0,1050765.0,1015760005.0,MN32,4000.0,136.0,40.77119,-73.949932
2009547-DCA,PARK NORTH PARKING CORP,,BA-1423665-2022,Garage & Parking Lot,Premises,Active,06/12/2014,03/31/2025,Vehicle Capacity: 100; Bicycle Capacity: 10,2123606300,Complete Address,220,E 117TH ST,,,,,NEW YORK,NY,10035,Manhattan,111.0,8.0,1052591.0,1016660036.0,MN34,3000.0,188.0,40.79834,-73.938871
2034503-DCA,165 STREET PARKING INC,,BA-1125328-2022,Garage & Parking Lot,Premises,Active,03/16/2016,03/31/2025,Vehicle Capacity: 49; Bicycle Capacity: 0,646 599-4839,Complete Address,8835,165 STREET,,,,,JAMAICA,NY,11432,Queens,412.0,24.0,,,QN61,2002.0,460.0,40.70826,-73.796654
2018861-DCA,776 SIXTH AVE PARKING CORP,,BA-1108707-2022,Garage & Parking Lot,Premises,Active,03/02/2015,03/31/2025,Vehicle Capacity: 92; Bicycle Capacity: 9,2127367171,Complete Address,776,6 AVENUE,,,,,NEW YORK,NY,10001,Manhattan,105.0,3.0,1015632.0,1008280001.0,MN13,1002.0,58.0,40.74489,-73.991342
1452642-DCA,304 WEST 49TH PARKING CORP.,,BA-1127432-2022,Garage & Parking Lot,Premises,Active,12/24/2012,03/31/2025,Vehicle Capacity: 205; Bicycle Capacity: 20,2122475607,Complete Address,304,W 49TH ST,,,,,NEW YORK,NY,10019,Manhattan,104.0,3.0,1025145.0,1010390038.0,MN15,1000.0,127.0,40.76186,-73.987066
1245513-DCA,MP WOODHULL LLC,,BA-1465550-2022,Garage & Parking Lot,Premises,Active,12/21/2006,03/31/2025,Vehicle Capacity: 617; Bicycle Capacity: 24,2124903460,Complete Address,752,BROADWAY,,,,,BROOKLYN,NY,11206,Brooklyn,303.0,36.0,3048341.0,3017230001.0,BK78,1000.0,28501.0,40.70065,-73.94182
2027983-DCA,SHERWOOD 21 GARAGE LLC,,BA-1515382-2022,Garage & Parking Lot,Premises,Active,09/03/2015,03/31/2025,Vehicle Capacity: 9; Bicycle Capacity: 0,2129808000,Complete Address,500,WEST   21 STREET,,,,,NEW YORK,NY,10011,Manhattan,104.0,3.0,1090199.0,1006927502.0,MN13,1033.0,99.0,40.74643,-74.005193
0699352-DCA,67TH ST. & 2ND AVE. GARAGE INC.,,BA-1106850-2022,Garage & Parking Lot,Premises,Active,03/28/1997,03/31/2025,Vehicle Capacity: 150; Bicycle Capacity: 15,2124072516,Complete Address,254,EAST   68 STREET,,,,,NEW YORK,NY,10065,Manhattan,108.0,5.0,1043884.0,1014220021.0,MN31,3000.0,118.0,40.76654,-73.960957
1192853-DCA,59 ALLEN STREET GARAGE CORP.,,BA-1129192-2022,Garage & Parking Lot,Premises,Active,04/07/2005,03/31/2025,Vehicle Capacity: 200; Bicycle Capacity: 20,212-736-7171,Complete Address,59,ALLEN ST,,,,,NEW YORK,NY,10002,Manhattan,103.0,1.0,1082491.0,1003070024.0,MN27,2000.0,16.0,40.7171,-73.991458
0429204-DCA,"4 EAST 76TH ST. GARAGE, INC.",,BA-1107903-2022,Garage & Parking Lot,Premises,Active,03/28/1997,03/31/2025,Vehicle Capacity: 86; Bicycle Capacity: 9,2124072516,Complete Address,4,EAST   76 STREET,,,,,NEW YORK,NY,10021,Manhattan,108.0,4.0,1041712.0,1013900067.0,MN40,4001.0,130.0,40.77486,-73.964736
1155049-DCA,MOTT PARK LLC,,BA-1462621-2022,Garage & Parking Lot,Premises,Active,10/29/2003,03/31/2025,Vehicle Capacity: 62; Bicycle Capacity: 6,212-564-3199,Complete Address,284,MOTT STREET,,,,,NEW YORK,NY,10012,Manhattan,102.0,1.0,1007894.0,1005080025.0,MN24,1001.0,43.0,40.72416,-73.994404
1325492-DCA,"THIRD AVENUE NORTH, LLC",,BA-1532975-2022,Garage & Parking Lot,Premises,Active,07/13/2009,03/31/2025,Vehicle Capacity: 27; Bicycle Capacity: 0,2123697032,Complete Address,181,EAST  119 STREET,,,,,NEW YORK,NY,10035,Manhattan,111.0,8.0,1054369.0,1017680033.0,MN34,2005.0,196.0,40.80015,-73.939201
1417423-DCA,STAR PARKING GARAGE INC.,,BA-1515337-2022,Garage & Parking Lot,Premises,Active,01/17/2012,03/31/2025,Vehicle Capacity: 74; Bicycle Capacity: 7,718-991-8100,Complete Address,840,WESTCHESTER AVENUE,,,,,BRONX,NY,10459,Bronx,202.0,17.0,2115863.0,2026890048.0,BX33,1004.0,87.0,40.81974,-73.901482
1389592-DCA,KK ENTERPRISE GROUP INC,,BA-1308354-2022,Garage & Parking Lot,Premises,Active,04/29/2011,03/31/2025,Vehicle Capacity: 75; Bicycle Capacity: 8,9147140259,Complete Address,2125,JEROME AVE,,,,,BRONX,NY,10453,Bronx,205.0,14.0,2014150.0,2031920042.0,BX36,3000.0,251.0,40.85516,-73.906147
1010035-DCA,5TH AVENUE GARAGE CORP.,,BA-1122509-2022,Garage & Parking Lot,Premises,Active,05/20/1999,03/31/2025,Vehicle Capacity: 48; Bicycle Capacity: 0,2127367171,Complete Address,96,5 AVENUE,,,,,NEW YORK,NY,10011,Manhattan,105.0,2.0,1015292.0,1008160042.0,MN13,3000.0,54.0,40.73659,-73.993202
1070437-DCA,EAST 85TH REALTY LLC,,BA-1198858-2022,Garage & Parking Lot,Premises,Active,12/29/2000,03/31/2025,Vehicle Capacity: 77; Bicycle Capacity: 8,2126509178,Complete Address,500,EAST   85 STREET,,,,,NEW YORK,NY,10028,Manhattan,108.0,5.0,1051230.0,1015810049.0,MN32,3000.0,14401.0,40.77509,-73.947272
2018558-DCA,PRION CORP,PRION CORP,BA-1464554-2022,Garage & Parking Lot,Premises,Active,02/23/2015,03/31/2025,Vehicle Capacity: 28; Bicycle Capacity: 0,2127171602,Complete Address,300,EAST   77 STREET,,,,,NEW YORK,NY,10075,Manhattan,108.0,5.0,1045192.0,1014517501.0,MN31,5000.0,134.0,40.77186,-73.955665
1181002-DCA,"TIMES SQUARE GARAGE, LLC",MEYERS PARKING,BA-1502247-2022,Garage & Parking Lot,Premises,Active,09/24/2004,03/31/2025,Vehicle Capacity: 423; Bicycle Capacity: 22,2125025490,Complete Address,141,W 43RD ST,,,,,NEW YORK,NY,10036,Manhattan,105.0,4.0,1022612.0,1009960012.0,MN17,1004.0,119.0,40.75598,-73.984699
1312579-DCA,"PARK 139TH, LLC",,BA-1432882-2022,Garage & Parking Lot,Premises,Active,03/27/2009,03/31/2025,Vehicle Capacity: 72; Bicycle Capacity: 7,2122340855,Complete Address,34,WEST  139 STREET,,,,,NEW YORK,NY,10037,Manhattan,110.0,9.0,1087516.0,1017367501.0,MN03,1000.0,212.0,40.81576,-73.936831
